percent-small-packet,percent-medium-packet,percent-big-packet,average-payload,stamp
0.952,0.035,3.50E-05,119.947,1
0.712,0.168,0.000168,277.584,1
0.623,0.251,0.000251,310.709,1
0.953,0.039,3.90E-05,118.524,1
0.964,0.029,2.90E-05,110.682,1
0.818,0.152,0.000152,162.323,1
0.511,0.256,0.000256,445.627,1
0.945,0.046,4.60E-05,123.87,1
0.952,0.04,4.00E-05,115.035,1
0.694,0.17,0.00017,297.723,1
0.628,0.279,0.000279,277.79,1
0.961,0.031,3.10E-05,115.301,1
0.948,0.045,4.50E-05,118.534,1
0.56,0.22,0.00022,413.8,1
0.72,0.213,0.000213,226.892,1
0.962,0.031,3.10E-05,112.976,1
0.962,0.03,3.00E-05,114.035,1
0.549,0.238,0.000238,401.543,1
0.798,0.171,0.000171,175.738,1
0.959,0.034,3.40E-05,113.697,1
0.922,0.067,6.70E-05,122.195,1
0.448,0.274,0.000274,495.434,1
0.838,0.14,0.00014,163.005,1
0.955,0.034,3.40E-05,117.944,1
0.838,0.14,0.00014,148.764,1
0.513,0.267,0.000267,430.117,1
0.915,0.075,7.50E-05,133.256,1
0.957,0.035,3.50E-05,112.435,1
0.726,0.156,0.000156,272.903,1
0.623,0.254,0.000254,303.513,1
0.948,0.044,4.40E-05,120.307,1
0.962,0.031,3.10E-05,111.1,1
0.811,0.159,0.000159,161.588,1
0.537,0.268,0.000268,400.506,1
0.938,0.054,5.40E-05,123.949,1
0.952,0.037,3.70E-05,119.203,1
0.709,0.158,0.000158,290.718,1
0.601,0.277,0.000277,313.25,1
0.958,0.032,3.20E-05,115.926,1
0.951,0.041,4.10E-05,116.558,1
0.596,0.204,0.000204,381.919,1
0.713,0.24,0.00024,208.152,1
0.962,0.031,3.10E-05,112.264,1
0.962,0.03,3.00E-05,113.322,1
0.567,0.24,0.00024,379.645,1
0.768,0.203,0.000203,176.79,1
0.965,0.027,2.70E-05,113.299,1
0.961,0.032,3.20E-05,113.391,1
0.507,0.257,0.000257,440.09,1
0.786,0.19,0.00019,174.658,1
0.962,0.03,3.00E-05,112.978,1
